Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18
REF. 87047878-LINEN-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  lino. Forro: 65%  poliéster-35%  algodón,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87047878-LINEN-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  lino. Forro: 65%  poliéster-35%  algodón,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87047127-LULA-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87067629-JUN-LM ,mujer,pantalones,2,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87067629-JUN-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87057879-LEONOR-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87057879-LEONOR-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87037150-CIEL-LM ,mujer,pantalones,9,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87037150-CIEL-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87037649-KWAIT-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 43%  viscosa-39%  poliéster-18%  polyester coat,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87000000-NINA7-H-LM ,mujer,pantalones,8,34-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 52%  algodón-45%  poliéster-3%  elastano. Forro: 80%  poliéster-20%  algodón,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87070502-PUNTA-N-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 70%  viscosa-25%  poliamida-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87081006-VIXY-H-LM ,mujer,pantalones,8,XS-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87030504-NUBE-I-LM ,mujer,pantalones,5,S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Forro: 100%  poliéster. Vivo: 100%  poliéster,NULL,NULL,MANGO,
REF. 87010560-OKA-H-LM ,mujer,pantalones,7,XS-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87051505-BAMBU-H-LM ,mujer,pantalones,8,XS-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 100%  viscosa,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87030029-COFI7-N-LM ,mujer,pantalones,7,34-36-38-40-42-44-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87030029-COFI7-N-LM ,mujer,pantalones,7,34-36-38-40-42-44-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87030029-COFI7-N-LM ,mujer,pantalones,8,40-44-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87020030-STARS-N-LM ,mujer,pantalones,7,S-M-L-,NULL,temporada,9-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-Se puede usar secadora,MANGO
REF. 87080534-TAMMY-LM ,mujer,pantalones,8,XS-S-M-L-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 97%  poliéster-3%  elastano. Forro bolsillo: 100%  algodón,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87080534-TAMMY-LM ,mujer,pantalones,8,XS-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 97%  poliéster-3%  elastano. Forro bolsillo: 100%  algodón,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87020556-PUNTASNA-N-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,19-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87040553-PUNTADEC-N-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 69%  viscosa-26%  poliamida-5%  elastano. Laterales: 88%  poliéster-12%  poliamida,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87051001-ESTHER-I-LM ,mujer,pantalones,8,40-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 89%  poliéster-11%  elastano. Recubrimiento: 100%  poliuretano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-No planchar-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87050537-PICASSO-LM ,mujer,pantalones,9,XS-S-M-L-XL-,NULL,temporada,22-99 €,NULL,NULL,NULL,Composición: 50%  acrílico-44%  poliéster-5%  lana-1%  elastano,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87060525-LORCA-LM ,mujer,pantalones,7,XS-S-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 49%  viscosa-31%  tereftalato de polietileno-20%  poliamida,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87091007-PILLU-H-LM ,mujer,pantalones,9,XS-S-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87060532-MARTA-LM ,mujer,pantalones,7,S-M-L-,NULL,temporada,15-99 €,NULL,NULL,NULL,Composición: 92%  poliéster-8%  elastano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
