,id,group,category,images,size,colour,season,price,made_in,clothes_care,brand
0, _ 1930/029,Mujer,Camisetas,8,S-L,1,Primavera-Verano,"17,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
1, _ 5039/093,Mujer,Camisetas,8,S-L,1,Primavera-Verano,"15,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
2, _ 5644/103,Mujer,Camisetas,6,S-XL,2,Primavera-Verano,"12,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
3, _ 7901/403,Mujer,Camisetas,7,XS-S-M-L,1,Primavera-Verano,"15,95",CHINA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
4, _ 5584/011,Mujer,Camisetas,8,S-L,1,Primavera-Verano,"17,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
5, _ 4644/006,Mujer,Camisetas,9,S-XL,1,Primavera-Verano,"17,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
6, _ 4174/025,Mujer,Camisetas,3,S-XXL,6,Primavera-Verano,"5,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
7, _ 2712/349,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",CHINA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
8, _ 0264/355,Mujer,Camisetas,6,S-L,3,Primavera-Verano,"12,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
9, _ 1131/355,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
10,NULL,Mujer,Camisetas,0,NULL,1,Primavera-Verano,"5,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
11,NULL,Mujer,Camisetas,0,NULL,1,Primavera-Verano,"4,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
12, _ 0264/178,Mujer,Camisetas,4,S-L,1,Primavera-Verano,"7,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
13, _ 2712/343,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",CHINA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
14, _ 0264/151,Mujer,Camisetas,8,S-XL,2,Primavera-Verano,"15,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
15,NULL,Mujer,Camisetas,0,NULL,1,Primavera-Verano,"12,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
16, _ 0858/045,Mujer,Camisetas,6,S-XL,2,Primavera-Verano,"12,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
17, _ 0085/233,Mujer,Camisetas,7,S-L,1,Primavera-Verano,"17,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
18, _ 5919/435,Mujer,Camisetas,3,S-L,1,Primavera-Verano,"15,95",CHINA,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - No planchar - No limpieza en seco - No usar secadora,Zara
19, _ 1165/109,Mujer,Camisetas,7,S-XL,1,Primavera-Verano,"17,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
20, _ 0085/109,Mujer,Camisetas,5,S-XL,1,Primavera-Verano,"15,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
21, _ 2712/341,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"17,95",CHINA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
22, _ 0858/078,Mujer,Camisetas,7,S-L,2,Primavera-Verano,"9,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
23, _ 5580/028,Mujer,Camisetas,3,S-L,1,Primavera-Verano,"12,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
24, _ 5644/117,Mujer,Camisetas,3,S-L,1,Primavera-Verano,"7,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
25, _ 1822/414,Mujer,Camisetas,4,XS-L,1,Primavera-Verano,"15,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
26, _ 1165/114,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
27, _ 2712/337,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",CHINA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
28, _ 0264/990,Mujer,Camisetas,7,S-L,1,Primavera-Verano,"15,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
29,NULL,Mujer,Camisetas,0,NULL,1,Primavera-Verano,"12,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
30, _ 1165/124,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
31, _ 0085/232,Mujer,Camisetas,11,S-L,1,Primavera-Verano,"17,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
32, _ 0264/152,Mujer,Camisetas,8,S-XL,1,Primavera-Verano,"15,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
33, _ 0085/998,Mujer,Camisetas,7,S-XL,3,Primavera-Verano,"7,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
34, _ 7901/406,Mujer,Camisetas,6,XS-S-M-L,3,Primavera-Verano,"7,95",CHINA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
35, _ 4644/007,Mujer,Camisetas,8,S-XL,1,Primavera-Verano,"15,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
36, _ 5919/421,Mujer,Camisetas,5,S-L,1,Primavera-Verano,"15,95",CHINA,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - No planchar - No limpieza en seco - No usar secadora,Zara
37, _ 5580/103,Mujer,Camisetas,7,S-XL,1,Primavera-Verano,"15,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
38, _ 5644/105,Mujer,Camisetas,6,S-XL,2,Primavera-Verano,"12,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
39, _ 0085/236,Mujer,Camisetas,9,S-L,1,Primavera-Verano,"15,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
40, _ 7901/401,Mujer,Camisetas,6,XS-S-M-L,4,Primavera-Verano,"9,95",CHINA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
41, _ 1131/330,Mujer,Camisetas,8,S-XL,4,Primavera-Verano,"7,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
42, _ 5644/084,Mujer,Camisetas,4,S-L,1,Primavera-Verano,"12,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
43, _ 2712/346,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"15,95",CHINA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
44, _ 1131/354,Mujer,Camisetas,3,S-L,1,Primavera-Verano,"15,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
45,NULL,Mujer,Camisetas,0,NULL,1,Primavera-Verano,"5,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
46, _ 1165/017,Mujer,Camisetas,6,S-L,1,Primavera-Verano,"9,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
47, _ 0858/095,Mujer,Camisetas,8,S-XL,3,Primavera-Verano,"12,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
48, _ 4644/001,Mujer,Camisetas,9,S-XL,1,Primavera-Verano,"17,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
49, _ 4644/008,Mujer,Camisetas,9,S-XL,1,Primavera-Verano,"15,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
50, _ 1443/015,Mujer,Camisetas,4,S-XL,1,Primavera-Verano,"12,95",PORTUGAL,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
51, _ 4043/046,Mujer,Camisa,9,XS-XXL,1,Primavera-Verano,"29,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
52, _ 4886/270,Mujer,Camisa,11,XS-XL,1,Primavera-Verano,"29,95",TURQUÍA,No lavar - No usar lejía / blanqueador - No planchar - Lim.Seco tetracloroetileno - No usar secadora,Zara
53, _ 3083/182,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"39,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
54, _ 2619/545,Mujer,Camisa,8,XS-XXL,1,Primavera-Verano,"29,95",MARRUECOS,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
55,NULL,Mujer,Camisa,8,XS-XL,1,Primavera-Verano,"25,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
56, _ 0821/040,Mujer,Camisa,7,-M,1,Primavera-Verano,"29,95",CHINA,No lavar - No usar lejía / blanqueador - No planchar - No limpieza en seco - No usar secadora,Zara
57, _ 7385/047,Mujer,Camisa,6,XS-XXL,1,Primavera-Verano,"17,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
58, _ 7484/070,Mujer,Camisa,8,XS-XL,1,Primavera-Verano,"25,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - No limpieza en seco - No usar secadora,Zara
59, _ 3173/152,Mujer,Camisa,8,XS-L,1,Primavera-Verano,"25,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
60, _ 4751/203,Mujer,Camisa,10,-M,1,Primavera-Verano,"35,95",INDIA,No lavar - No usar lejía / blanqueador - No planchar - No limpieza en seco - No usar secadora,Zara
61, _ 4786/112,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"29,95",CHINA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
62, _ 7200/001,Mujer,Camisa,4,XS-S-M-L,1,Primavera-Verano,"19,95",INDIA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
63, _ 1971/091,Mujer,Camisa,5,XS-L,1,Primavera-Verano,"22,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - No usar secadora,Zara
64, _ 3041/268,Mujer,Camisa,6,XS-L,1,Primavera-Verano,"25,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
